Channel ID,Video ID,Title,Published At,Views,Likes,Comments,Description,Transcript_Available,Classification
UCuyl9HIbX_fYTuJbLEz1KQw,WyVrRdhKDQU,Screen time vs Green time: Lifestyle as a pillar in Myopia control,2025-06-23T11:36:02Z,11,0,0,"Dr. Srikanth. R 
Leela Eye Clinic, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,49zuLW2vZqg,Combination Therapy for Myopia Progression Control,2025-06-23T11:34:18Z,14,0,0,"Dr. Jitendra Jethani
Baroda Children Eyecare and Squint Clinic, Vadodara",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,uQvpKu7PeEE,Low-dose Atropine in Myopia Control - A Pharmacological Approach,2025-06-23T11:33:00Z,68,0,0,"Dr Akila Chandrasekaran
Aravind Eye Hospital, Chennai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,DSss-e45i60,Optical strategies for the prevention of Myopia progression,2025-06-23T11:31:41Z,38,0,0,"Dr. Shruti Nishanth 
M.N. Eye Hospital, Chennai",Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,zwEqyA6Isr0,Physiological Perspective and Biometric Changes in Myopia,2025-06-23T11:30:06Z,27,2,0,"Dr. Sivaraja Gowthaman. A 
Aravind Eye Hospital, 
Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,ywA3ZQsxy6o,Frontalis Sling Surgery,2025-06-21T04:05:21Z,212,22,3,,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,vNMiOeuOb8c,Donor preparation for DSAEK,2025-06-14T04:26:42Z,143,5,0,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,Elo333rJCjA,Minimally Invasive Glaucoma Surgery - Kahook Dual Blade Glide Goniectomy,2025-05-31T03:34:27Z,442,20,0,,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,Yx5pjT8I3eI,Low Vision Rehabilitation Overview,2025-05-20T12:39:54Z,89,2,0,"Dr. D. Thamizhselvi
Jothi Eye Care Center, Pondicherry",No,patient interaction
UCuyl9HIbX_fYTuJbLEz1KQw,5leED0VDOPY,Role of OCT in Neuro Ophthalmology Disorders,2025-05-20T12:36:59Z,322,20,1,"Dr. S. Rajalakshmi
JIPMER, Karaikal",Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,YAOlkcxlqwY,Visual Evoked Potential (VEP) for Neurologist,2025-05-20T12:35:51Z,98,2,1,"Dr. A. Balraj
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,api0pM-Uq48,Anisocoria Demystified,2025-05-20T12:33:45Z,98,4,0,"Dr. J. Jefila
PIMS, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,i0-RXKQfWuI,Working in Conjunction - Localizing Conjugate Gaze Palsy,2025-05-20T12:31:58Z,67,1,0,"Dr. G. Madhumita
Aravind Eye Hospital, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,EfYRkjFw1Bc,Decoding Nystagmus,2025-05-20T12:30:18Z,98,5,0,"Dr. Mithun Mathew Thomas
 Christian Medical College, Vellore",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,6VMFBnCobQc,Approach to Cranial Nerve Palsy,2025-05-20T12:28:39Z,67,3,0,"Dr. A L. Periakaruppan
Kauvery Hospital,
Chennai",Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,AqhadxU47PI,Myasthenia Gravis – Recent Advances,2025-05-20T12:28:34Z,30,1,0,"Dr. S. Kamatchi
Stanley Medical College, Chennai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,hLcGF9I3BQ0,Recent Advances in Idiopathic Intracranial Hypertension,2025-05-20T12:25:22Z,58,1,0,"Dr. Shobana
PIMS, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,b9c96Y0Vf1w,Neuroradiology Findings in IIH & CVT,2025-05-20T12:23:26Z,9,0,0,"Dr. C. Lokesh
Elite Scans, Kallakurichi",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,-oMKCfOy_o0,Unexplained Vision Loss,2025-05-20T12:21:05Z,30,1,0,"Dr. S. Ambika
Sankara Nethralaya, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,q3LHLb-NJGo,Decoding Demyelinating Disorders MS/NMO/MOG,2025-05-20T12:18:53Z,17,1,0,"Prof. Emeritus. Dr. R. Pazhani 
  Pazhani Neuro Centre, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,TzZKJKMdpP8,Deciphering Neuroradiology Findings in Demyelinating Disorders,2025-05-20T12:17:23Z,51,6,1,"Dr. J. Jai Kishor
Sono Scan Center, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,yU05SWd1de4,What Does Disc Tell,2025-05-20T12:15:07Z,139,6,0,"Dr. G. Madhumita
Aravind Eye Hospital, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,UO4IioPOb3k,CVI Demystified,2025-05-20T12:13:56Z,27,0,0,"Dr. K. Veena 
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,ecwaDYf1DPg,The Headache of Conquering Cephalgia,2025-05-20T12:12:08Z,70,4,0,"Dr. K. Stephen Sudhakar
SRMC, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,BaWz8fI5Oak,How To Recognize Neurological Visual Field - Pearls and Oysters,2025-05-20T12:10:14Z,65,8,0,"Dr. O. Annamalai 
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,UpqSh89Efck,MIGS Ab Interno Trabeculotomy using Tanito Microhook,2025-05-17T02:27:58Z,215,8,1,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,3RE90oLXZ8k,EYES ON SUCCESS - Seminar on Ophthalmology Practice Development,2025-05-13T10:52:53Z,348,14,2,"Dr. R. Venkatesh
Chief Medical Officer, Puducherry
11ᵗʰ May 2025 | Sunday
LAICO, Madurai",Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,V1_0HWDToK0,Phacoemulsification Cataract Surgery with Ab Interno Bleb Revision,2025-05-13T04:54:03Z,418,9,1,,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,b6-WkDFu1Wk,MIGS,2025-03-31T08:52:13Z,480,9,1,"Dr. Swati Upadhyaya
 Aravind Eye Hospital, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,lall-3R6V20,MP TSCPC,2025-03-31T08:50:56Z,419,6,0,"Dr. Murali Ariga 
Swamy Eye Clinic, Chennai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,2UlRhJhGluM,AGV,2025-03-31T08:50:04Z,135,3,0,"Dr. Subashini Kaliaperumal
JIPMER, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,E97CPTVZ6ZY,AADI,2025-03-31T08:48:40Z,169,1,0,"Dr. A. Vijayalakshmi
Aravind Eye Hospital, Madurai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,-Lu_DCTjWH8,Anterior Anomalies Posterior Perils-Anterior Segment Dysgenesis,2025-03-31T08:47:52Z,139,8,0,"Dr. Mona Khurana 
Sankara Nethralaya, Chennai",No,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,Op2vQCOfxJI,Fluid Detour- Aqueous Misdirection,2025-03-31T08:46:30Z,139,4,0,"Dr. V. Prasanna
Aravind Eye Hospital, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,2paLskayMAU,Vision under Siege- Traumatic Glaucoma,2025-03-31T08:44:59Z,66,3,0,"Dr. Annamalai 0 
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,YCsGbBunE0U,Delicate Debris and Deadly Damage- Pseudoexfoliation Glaucoma,2025-03-31T08:35:55Z,95,1,0,"Dr. P. Sathyan, President, GSI 
Sathyan Eye Care Hospital, Coimbatore",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,NxupTVPi5CI,Fragile Webs and Fierce Pressures- Neovascular Glaucoma,2025-03-31T08:34:44Z,107,4,2,"Dr. Murali Ariga
Swamy Eye Clinic, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,ZqwHgSyF4zc,Tiny Spheres and Towering Risks- Nanophthalmos,2025-03-31T08:33:42Z,73,1,0,"Dr. R. Sharmila
Aravind Eye Hospital, Madurai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,K0lEFlzVe3U,Behind the Surgical Curtain-Glaucoma following Vitreo-Retinal Surgeries,2025-03-31T08:31:46Z,77,1,0,"Dr. Neethu Mohan
Aravind Eye Hospital, Chennai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,6-jeDBLCi44,Protocol Checklist,2025-03-03T07:09:31Z,99,1,0,"Dr. Josephine Christy S
Aravind Eye Hospital, Pondicherry",No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,kf4iNfusUvY,Hands on Experience- Zotero,2025-03-03T06:15:49Z,100,1,0,"Mrs. R. Kumaragurupari
Chief Librarian, Aravind Eye Hospital, Madurai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,ABGhKUd-09I,Structuring the Thesis –Practical Tips,2025-03-03T04:36:26Z,63,0,0,"Dr. R. Naveen
Aravind Eye Hospital, Pondicherry",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,_zpILwC9eE0,Introduction to Data Collection Tools,2025-03-03T04:35:08Z,40,0,0,"Mr. Balagiri Sundar
Biostatistician, Laico, Madurai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,vh62sxGmWZI,Role of Biostatistician in Thesis: When and How should I approach,2025-03-03T04:33:21Z,29,0,0,"Mr. Balagiri Sundar
Biostatistician, Laico, Madurai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,tG6cfmvQ2ho,Dr  Anitha Venugopal,2025-03-03T04:31:15Z,41,1,0,"Dr. Anitha Venugopal
Aravind Eye Hospital, Tirunalveli",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,bwUjgY5gYws,Review of Literature: Effective Use of Search Engines,2025-03-03T04:29:35Z,49,0,0,"Mrs. R. Kumaragurupari
Chief Librarian, Aravind Eye Hospital, Madurai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,DlMwH3O5H84,Ethics in Research: Introduction to IEC,2025-03-03T04:25:33Z,59,2,0,"Dr. R. Jayagayathri
Aravind Eye Hospital, Pondicherry",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,UHJEbyU3yHk,Study Designs,2025-03-03T04:23:25Z,58,1,0,"Dr. O. Annamalai
Aravind Eye Hospital, Pondicherry",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,7EaPtJiTo0c,Formulating Research Questions and Hypotheses,2025-03-03T04:18:28Z,43,0,0,"Dr. Neelam Pawar
Aravind Eye Hospital, Tirunelveli",No,research update
UCuyl9HIbX_fYTuJbLEz1KQw,3neOi1JvtdU,Pre-operative evaluation and Risk factors for Endophthalmitis,2025-02-27T04:41:25Z,96,3,1,"Dr. Venugopal Reddy
Aravind Eye Hospital, Tirupati",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,cZh74q8YwdM,Intra-Vitreal administration of medication - first line of defence in managing endophthalmitis,2025-02-27T04:40:28Z,97,8,0,"Dr. Utsab Pan
Susrut Eye Foundation and
Research Centre, Berhampore, West Bengal",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,3-bTOOtDwfo,Masquerades in Endophthalmitis,2025-02-27T04:39:22Z,102,4,0,"Dr. Renu P Rajan
Aravind Eye Hospital, Madurai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,SuyHZd-SaWI,Tackling Cluster Endophthalmitis,2025-02-27T04:38:57Z,328,6,0,"Dr. R D Ravindran
Chairman, Aravind Eye Care System",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,mnG4aNh42Gs,Traumatic Endophthalmitis - tips in managing a challenging Scenario,2025-02-27T04:37:07Z,71,1,0,"Dr. Naresh Babu
Aravind Eye Hospital, Madurai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,_TkXMnY3i9c,Surgery in Endophthalmitis - salvaging vision,2025-02-27T04:37:05Z,288,6,0,"Dr. Prabu Baskaran
Aravind Eye Hospital, Chennai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,j5gCX-fWjLE,Beyond postoperative endophthalmitis - various special scenarios,2025-02-27T04:34:58Z,57,2,0,"Dr. Manavi D Sindal
Aravind Eye Hospital, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,gb3VzE-KPmM,Medico-Legal Aspects in Endophthalmitis,2025-02-27T04:33:33Z,53,4,0,"Dr. Mahesh Gopalakrishnan
Giridhar Eye Institute, Kochi",Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,7uQ6z5efoeI,Prevention of endophthalmitis - anterior segment surgeon’s perspective,2025-02-27T04:31:21Z,88,4,0,"Dr. Haripriya Aravind
Aravind Eye Hospital, Chennai",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,D3a9XtZcXhc,Post-Surgery Visual Rehabilitation - the road ahead,2025-02-27T04:30:14Z,41,1,0,"Dr. C K Nagesha
Narayana Nethralaya, Bangalore",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,5IrWcRMYq94,TASS vs Endophthalmitis - tale of two mimicker,2025-02-27T04:29:06Z,208,12,0,"Dr. S. Sivaranjani
Aravind Eye Hospital, Pondicherry",No,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,vJV_VjQrKNk,Role of OT and instrument Sterilization techniques for endophthalmitis prevention,2025-02-27T04:27:54Z,150,5,0,"Dr. Fredrick Mouttapa
Aravind Eye Hospital, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,9Thk5AmSSgk,Ocular and systemic Investigations in diagnosis and management of endophthalmitis,2025-02-27T04:26:13Z,104,2,0,"Dr. Amit Kumar Deb,
JIPMER, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,-zUFs0zTkTw,REFLECTIONS 2024,2024-12-31T18:30:06Z,279,7,0,From Dreams to Milestones: Reflecting on 2024 & Welcoming 2025,No,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,LU2rqq6oiko,Medical management of TRO,2024-12-10T10:35:05Z,247,4,1,"Dr. Kalaiselvi Rain
Sri Lakshmi Narayana Institute of Medical Sciences
Pondicherry",Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,Dx-RI3Ih6xY,Lid & canalicular Lacerations,2024-12-10T10:34:34Z,294,7,0,"Dr. Bhagwati Wadwekar
Sri Manakula Vinayagar Medical College, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,djtcdSPNxf8,Dealing it from inside -Anatomy of nose-from an Ophthalmologist’s perspective &Endonasal DCR,2024-12-10T10:33:15Z,380,4,0,"Dr. Vijayasundaram
ENT Specialist,
Mahatma Gandhi Medical College, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,IErCruX599U,Etiopathogenesis and Classification of TRO,2024-12-10T10:33:12Z,120,4,0,"Dr. Ezhilvathani
Indira Gandhi Government Medical College, Pondicherry",No,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,RRJOZryn-uc,Lets deal it from outside external DCR,2024-12-10T10:31:05Z,227,6,0,"Dr. Loganathan
Sri Venkateshwara Medical College, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,vCjLPmUoGEI,Exploring Orbitology in the true sense,2024-12-10T10:30:20Z,231,9,0,"Dr. Usha Kim
Aravind Eye Hospital, Madurai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,Ew2BQivMKaQ,Deciphering CT scan of orbit,2024-12-10T10:29:01Z,223,14,2,"Dr. Jai Kishore
Radiologist, Sono Scan, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,40HOATckOJ8,CNLDO and its management,2024-12-10T10:28:58Z,221,5,0,"Dr. Nirupama Kasthuri
JIPMER, Pondicherry",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,PjIbFuYG-N0,"Anatomy of lacrimal drainage pathway, PANDO and SALDO",2024-12-10T10:26:42Z,92,3,0,"Dr. A. R. Rajalakshmi
Mahatma Gandhi Medical College, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,_k1fuBnXSMw,Anterior stromal puncture for toric IOL marking,2024-11-24T08:28:58Z,529,18,0,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,SZ-kqVi63KM,Guest Lecture - Simple Limbal Epithelial Transplantation (SLET),2024-11-21T07:14:45Z,257,13,0,"Dr. Kanwal Singh Matharu MD, Assistant Professor, Cornea Specialist 
Co-Director of UI Global Eye Department of Ophthalmology,
University of Iowa",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,k-zpcuffB6M,Guest Lecture - Evolution of Eye Banking,2024-11-21T07:09:12Z,74,2,0,"Mr. Greg Schimdt MBA, Director of Business Development and Research Iowa Lion's Eye Bank",Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,zKN8UL_luy0,Implantable Collamer Lens(ICL) surgery,2024-11-16T12:19:09Z,730,19,0,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,IVhohv4zYRM,Contact Lens Fitting,2024-11-14T10:11:37Z,116,4,0,"Ms. Jasintha
Silver Line Laboratories, New Delhi",No,patient interaction
UCuyl9HIbX_fYTuJbLEz1KQw,A1qqwPJAb94,Contact lens in Corneal Ectasia – Through the Looking Glass,2024-11-14T10:10:22Z,85,3,0,"Dr. Soundaram M
Klariti Eye Care Hospital, Chennai",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,s51PlUBlsm4,Cataract surgery in Ectasia – Into the Nitty Gritties,2024-11-14T10:09:02Z,99,6,0,"Dr. Jeyanthan S
K.S Eye Hospital, Erode",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,uPQncDOZwZs,"Keratoplasty for Corneal Ectasia - Weaving Vision & Venturing Beyond Crosslinking - ICRS, BMT",2024-11-14T10:08:32Z,169,10,0,"Dr. JK Reddy
Sankara Eye Hospital, Coimbatore",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,qjVh3C3Pblo,Post LASIK Ectasia - Tackling Post-Refractive Surgery Challenges,2024-11-14T10:07:31Z,198,3,0,"Dr. Venkatesh Prajna
Aravind Eye Hospital, Madurai",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,YHgQQG_V3f8,Collagen Cross linking – The Science of Flattening the Curve,2024-11-14T10:05:54Z,100,2,0,"Dr. Prabhu V
Sankara Eye Hospital, Coimbatore",Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,nxf5PPbOdNk,Corneal Topography – Decoding the Patterns,2024-11-14T10:05:46Z,282,13,0,"Dr. Sharmila Devi V
Govt Vellore Medical College",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,ErQ06iSbcpI,Corneal Ectasia Basics – A Deep Dive,2024-11-14T10:03:22Z,83,5,0,"Dr. Ramesh Babu
JIPMER, Pondicherry",Yes,disease pathology
UCuyl9HIbX_fYTuJbLEz1KQw,mU0p3rTX9RM,Descemet Membrane Endothelial Keratoplasty (DMEK),2024-11-09T13:40:38Z,360,16,0,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,wZOWskCw8N0,Heal Day -2,2024-11-09T08:41:12Z,322,0,0,,Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,9oT-EH6pkn8,Heal Day -1,2024-11-08T12:40:40Z,747,5,0,,No,patient interaction
UCuyl9HIbX_fYTuJbLEz1KQw,tOWe5o18xeQ,Descemet Membrane Endothelial Keratoplasty(DMEK)- Preparation of Donor cornea,2024-11-02T11:24:50Z,815,25,2,,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,UvzFymWA5H8,Preparing rebuttal and facing rejections,2024-11-02T03:42:44Z,156,3,0,Dr. Josephine Christy,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,Y_7Tj--Uqo4,Approaching ophthalmic images and case reports,2024-10-30T10:40:03Z,197,9,0,Dr. Naveen. R,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,A2EeH_ZEiQ0,How to initiate a review article?,2024-10-30T10:38:32Z,60,1,0,Dr. Annamalai. O,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,x-ZBtByBHJc,Writing an Original article,2024-10-30T10:37:45Z,49,2,0,Dr. Manavi D Sindal,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,drwS6U9Ie_0,Converting conference abstracts to manuscript,2024-10-30T10:36:06Z,93,3,0,Dr. S. Kavitha,Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,rOaAb_LRcXI,How to effectively present data?,2024-10-30T10:32:59Z,39,1,0,Dr. Divya Karthik,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,0oL7FgBZnxg,Grant writing / Proposal writing,2024-10-30T10:20:20Z,87,4,0,Dr. Karthik Srinivasan,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,S1MzkLXHcEI,How to use reference managers effectively?,2024-10-30T10:19:33Z,48,1,0,Ms. Kumaragurupari,Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,p572u8Rm_Jg,"""Find your perfect fit"": The Art of selecting the Right Journal",2024-10-30T10:17:26Z,99,1,0,Dr. Anitha Venugopal,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,TnjWxw_NRVc,Gonioscopy-Assisted Transluminal Trabeculotomy (GATT),2024-10-12T01:00:37Z,248,17,0,#surgicalsaturday,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,7RC8v5FbFhk,Primary Posterior Capsulorhexis,2024-10-05T08:10:15Z,409,12,0,#surgicalsaturday,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,wFD5NnJBeo8,Anterior Transpositioning of Inferior Oblique,2024-09-28T04:33:37Z,206,7,0,#surgicalsaturday,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,lFrokcuTUnU,Superior Oblique Tucking | Congenital SO Palsy,2024-09-21T03:58:42Z,184,6,0,#surgicalsaturday,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,AOc3bsp2uT0,Checking the Patency of Trabeculectomy Bleb while doing Cataract Surgery,2024-09-14T11:36:08Z,299,7,0,#surgicalsaturday #gopro,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,PI0ViolUZEM,Brown's Syndrome| Superior Oblique Split Tendon Lengthening,2024-09-07T06:52:55Z,1194,30,0,#surgicalsaturday,No,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,Lqi0pou8v-s,"Optimally using Chat-GPT, Generative AI for Voiceover, Script, etc.",2024-09-06T07:29:03Z,220,7,0,Dr Akshay Wagh,Yes,new technology review
UCuyl9HIbX_fYTuJbLEz1KQw,2AP46Iy6MVg,Photo Essay and Case Report Publication,2024-09-06T07:26:12Z,289,10,0,Dr. Annamalai Odayappan,Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,eq96AGS5psI,Running a Social Media Page,2024-09-06T07:23:04Z,192,8,0,Dr. Saloni Joshi,Yes,research update
UCuyl9HIbX_fYTuJbLEz1KQw,zM0CpHiuMis,Making Impactful PPT Slides,2024-09-06T07:22:12Z,545,9,0,Dr. Pavankumar,Yes,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,l_zJ3k6ZFu4,Basic Video Editing and Movie Making,2024-09-06T07:19:45Z,191,6,1,Dr. Apurva Nagtode,Yes,surgical tutorial
UCuyl9HIbX_fYTuJbLEz1KQw,EmXsIK9aDPM,LIVE: 39th National Eye Donation Fortnight Celebrations,2024-09-03T18:03:00Z,296,10,1,"Guest Address and Honouring the Major Motivators by
Shri.K. Kailashnathan Hon'ble Lt. Governor of Puducherry
In the august presence of
Shri. A. Nedunchezhiyan, L.A.S Secretary to Lt. Governor of Puducherry
Dr. N. Ezhilvathani Professor & HOD, Ophthalmology, IGMCRI, Puducherry",No,conference highlight
UCuyl9HIbX_fYTuJbLEz1KQw,tjeJYNWGT3E,Posterior Tenotomy of Superior Oblique muscle,2024-08-31T08:49:08Z,303,8,0,,No,surgical tutorial
